Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
Aladdin's Castle,Aladdin's Castle,40,Bally Manufacturing Corporation,"June, 1976",2,EM,Fantasy - Myth and Legend
Alamo,Alamo,41,Rock-ola Manufacturing Corporation,"May, 1936",1,EM,American Places - Historical
Alamo,Alamo,4916,Joseph Schneider Incorporated,,1,ME,American Places - History
Alarm,Alarm,2867,T.H. Bergmann & Company,"July, 1958",1,EM,
Alaska,Alaska,3888,Interflip S. A.,"May, 1978",4,SS,American Places
Alaska,Alaska,4650,Recreativos Franco,,1,EM,
Alert,Alert,3830,Arco Sales Co.,"December, 1942",1,EM,Military - Warfare - World War II
Algar,Algar,42,"Williams Electronics, Incorporated","September, 1980",4,SS,Fantasy
Ali,Ali,43,"Stern Electronics, Incorporated","March, 1980",4,SS,Sports - Boxing - Licensed Theme
Ali Baba,Ali Baba,44,"Sega Enterprises, Ltd.",1973,2,EM,Fantasy - Myth and Legend
Ali-Baba,Ali-Baba,45,D. Gottlieb & Company,"June, 1948",1,EM,Fantasy - Myth and Legend
Ali-Baba,Ali-Baba,46,Stoner Manufacturing Company,"November, 1939",1,EM,Fantasy - Myth and Legend
Alice in Wonderland,Alice in Wonderland,47,D. Gottlieb & Company,"August, 1948",1,EM,Fictional Characters
Alien (Standard Edition),Alien (Standard Edition),6419,"Heighway Pinball, Ltd.","February, 2017",4,SS,Licensed Theme - Science Fiction
Alien Poker,Alien Poker,48,"Williams Electronics, Incorporated","October, 1980",4,SS,Fantasy - Outer Space - Cards - Gambling
Alien Space,Alien Space,6543,"Atari, Incorporated",,4,SS,
Alien Star,Alien Star,49,"Mylstar Electronics, Incorporated","June, 1984",4,SS,Outer Space - Fantasy
Alien Warrior,Alien Warrior,5882,LTD do Brasil Diversıes EletrÙnicas Ltda,,4,SS,Aliens - Fantasy - Outer Space
Alive,Alive,50,Brunswick Manufacturing Company,1978,4,SS,Music
All American,All American,51,Chicago Coin Machine Manufacturing Company,18-Oct-40,1,EM,Sports - Football
All American,All American,4200,Rock-ola Manufacturing Corporation,"August, 1934",1,ME,
All American Derby,All American Derby,5418,Illinois Novelty Co.,"November, 1943",1,EM,
All American Football,All American Football,4948,Peo Manufacturing Corporation,"September, 1935",1,EM,Sports - Football
All American Odd Ball,All American Odd Ball,3682,All American Amusements,"April, 1988",1,SS,
All Out,All Out,3840,Sullivan-Nolan Advertising Company [WWII Conversions Only],"April, 1943",1,EM,
All Star Baseball,All Star Baseball,53,Chicago Coin Machine Manufacturing Company,1962,2,EM,Sports - Baseball
All Star Baseball,All Star Baseball,2869,Williams Manufacturing Company,"February, 1954",6,EM,Sports - Baseball
All Star Baseball,All Star Baseball,6504,Valley Dynamo,"December, 2017",2,SS,Sports - Baseball
All Stars,All Stars,55,Chicago Coin Machine Manufacturing Company,"February, 1968",2,EM,Sports - Baseball
All Stars,All Stars,56,A.B.T. Manufacturing Company,"January, 1935",1,EM,Sports - Football
All Stars,All Stars,57,Bally Manufacturing Corporation,"April, 1936",1,EM,
All Stars,All Stars,2870,Williams Manufacturing Company,31-May-47,1,EM,Sports - Baseball
All Stars,All Stars,3744,D. Gottlieb & Company,"January, 1972",1,EM,
All The Way,All The Way,6278,Bally Manufacturing Corporation,"October, 1964",2,EM,Circus/Carnival
All-American,All-American,58,Dixie Music Co.,"February, 1933",1,ME,
All-American Automatic Base Ball Game,All-American Automatic Base Ball Game,6107,"Amusement Machine Corporation of America, Ltd.",1929,1,EM,Sports - Baseball
All-American Quarterback,All-American Quarterback,1886,Williams Manufacturing Company,13-Oct-49,1,EM,Sports - Football
All-American Twin,All-American Twin,3919,Dallas Novelty Sales Company Incorporated,"October, 1932",2,ME,
All-Star Basketball,All-Star Basketball,54,D. Gottlieb & Company,"January, 1952",1,EM,Sports - Basketball
All-Star Basketball Game,All-Star Basketball Game,5690,Gotham Pressed Steel Corporation,1947,1,ME,Sports - Basketball
All-Star Basketball Game (with bell),All-Star Basketball Game (with bell),4703,Gotham Pressed Steel Corporation,1947,1,ME,Sports - Basketball
Alligator,Alligator,59,Bally Manufacturing Corporation,"June, 1969",4,EM,Adventure - Alligators - Water
Aloha,Aloha,62,D. Gottlieb & Company,"November, 1961",2,EM,Hawaii
Aloha,Aloha,2871,Nate Schneller Incorporated,"January, 1949",1,EM,American Places - Beach - Happiness - Hawaii - Swimming - Water - Women
Aloha,Aloha,5100,Advertising Posters Company,,,,Hawaii
Aloha,Aloha,5957,Williams Manufacturing Company,,1,EM,American Places - Hawaii
Aloha,Aloha,6314,,"October, 2015",1,EM,American Places - Hawaii
Alpha 2001,Alpha 2001,3688,Costruzioni Elettroniche Automatiche,1977,1,SS,Space Fantasy
Alpine Club,Alpine Club,63,Williams Electronic Manufacturing Company,"February, 1965",1,EM,Sports - Snow Skiing - Vacationing
Always Seven,Always Seven,4463,"Etablissement Marchant, S.A.",1950,,EM,
Amazon Hunt,Amazon Hunt,66,"D. Gottlieb & Company, a Columbia Pictures Industries Company","September, 1983",4,SS,
Amazon Hunt,Amazon Hunt,5691,Naujoks-Schulze-Menke,1985,4,SS,
Amazon Hunt II,Amazon Hunt II,3975,Premier Technology,"May, 1987",4,SS,
Amazon Hunt III,Amazon Hunt III,4432,Premier Technology,"September, 1991",4,SS,
Ambassador,Ambassador,4180,Bally Manufacturing Corporation,1936,1,EM,
Ambassador (Standard),Ambassador (Standard),67,Stoner Manufacturing Company,"February, 1933",1,ME,
